source,group,dataset,n,capacity,algorithm,status,optimum,value,total_weight,selected_count,error_percent,runtime_ms_avg,memory_kb,repeat_times,nodes,pruned,prune_rate
JJ,jj_hard,n_800_c_1000000_g_10_f_0.1_eps_0.0001_s_100,800,1000000,Greedy,OK,1006050,1005962,999982,167,0.0087,0.0000,19,1,0,0,0.0000
JJ,jj_hard,n_1000_c_1000000_g_10_f_0.1_eps_0.0001_s_100,1000,1000000,DP,OK,1007293,1007293,999999,196,0.0000,656.1870,11719,1,0,0,0.0000
JJ,jj_hard,n_1000_c_1000000_g_10_f_0.1_eps_0.0001_s_100,1000,1000000,Backtracking,OK,1007293,1007293,999999,196,0.0000,56.7130,28,1,1415280,18412,0.0130
JJ,jj_hard,n_1000_c_1000000_g_10_f_0.1_eps_0.0001_s_100,1000,1000000,Greedy,OK,1007293,1007247,999988,200,0.0046,1.1170,24,1,0,0,0.0000
JJ,jj_hard,n_1200_c_1000000_g_10_f_0.1_eps_0.0001_s_100,1200,1000000,DP,OK,1009238,1009238,1000000,225,0.0000,917.6100,11719,1,0,0,0.0000
JJ,jj_hard,n_1200_c_1000000_g_10_f_0.1_eps_0.0001_s_100,1200,1000000,Backtracking,TIMEOUT,1009238,1009191,1000000,240,NA,10000.0940,33,1,262633590,4608274,0.0175
JJ,jj_hard,n_1200_c_1000000_g_10_f_0.1_eps_0.0001_s_100,1200,1000000,Greedy,OK,1009238,1008910,999982,252,0.0325,0.0000,29,1,0,0,0.0000
JJ,jj_hard_large_capacity,n_400_c_100000000_g_10_f_0.1_eps_0.0001_s_100,400,100000000,DP,SKIPPED_BY_CAPACITY,100002908,0,0,0,NA,0.0000,0,1,0,0,0.0000
JJ,jj_hard_large_capacity,n_400_c_100000000_g_10_f_0.1_eps_0.0001_s_100,400,100000000,Backtracking,TIMEOUT,100002908,99996018,99993016,117,NA,10000.2160,11,1,292280382,39090326,0.1337
JJ,jj_hard_large_capacity,n_400_c_100000000_g_10_f_0.1_eps_0.0001_s_100,400,100000000,Greedy,OK,100002908,99975788,99972744,115,0.0271,0.0000,10,1,0,0,0.0000
JJ,jj_hard_large_capacity,n_400_c_10000000000_g_10_f_0.1_eps_0.0001_s_100,400,10000000000,DP,SKIPPED_BY_CAPACITY,9999942809,0,0,0,NA,0.0000,0,1,0,0,0.0000
JJ,jj_hard_large_capacity,n_400_c_10000000000_g_10_f_0.1_eps_0.0001_s_100,400,10000000000,Backtracking,TIMEOUT,9999942809,9999882340,9999879632,118,NA,10003.3940,11,1,297939775,47669146,0.1600
JJ,jj_hard_large_capacity,n_400_c_10000000000_g_10_f_0.1_eps_0.0001_s_100,400,10000000000,Greedy,OK,9999942809,9994881847,9994879072,113,0.0506,0.0000,10,1,0,0,0.0000
